根据马克思主义的定义，其创立者与发展者是谁？,马克思主义是由马克思、恩格斯创立并为后继者所不断发展的科学理论体系。
从内容角度看，马克思主义是关于什么发展一般规律的学说？,马克思主义是关于自然、社会和人类思维发展一般规律的学说。
从目标角度看，马克思主义是关于什么必然代替什么、最终实现什么的学说？,马克思主义是关于社会主义必然代替资本主义、最终实现共产主义的学说。
从立场角度看，马克思主义是关于谁的解放和每个人发展的学说？,马克思主义是关于无产阶级解放、全人类解放和每个人自由而全面发展的学说。
从地位角度看，马克思主义是什么的指导思想？,马克思主义是无产阶级政党和社会主义国家的指导思想。
从作用和意义角度看，马克思主义是指引人民创造什么生活的行动指南？,马克思主义是指引人民创造美好生活的行动指南。
马克思主义理论体系的三个基本组成部分是什么？,马克思主义哲学、马克思主义政治经济学和科学社会主义。
什么是马克思主义基本原理？,它是对马克思主义立场观点方法的集中概括，是经过实践反复检验而确立起来的具有普遍真理性的理论。
马克思主义基本原理体现了马克思主义哪两种性质的统一？,马克思主义基本原理体现了马克思主义科学性和革命性的统一。
马克思主义的基本立场是什么？,以无产阶级的解放和全人类的解放为己任，以人的自由而全面发展为美好目标，以人民为中心。
马克思主义的基本方法是建立在什么世界观和方法论基础上的？,马克思主义的基本方法是建立在辩证唯物主义和历史唯物主义世界观和方法论基础上的。
列举三种马克思主义的基本方法。,实事求是的方法、辩证分析的方法、历史分析的方法、阶级分析的方法、群众路线的方法等。（任举三例即可）
马克思主义产生于哪个年代？,马克思主义产生于19世纪40年代。
马克思主义产生的深刻社会根源（经济社会基础）是什么？,资本主义生产方式的发展带来了社会化大生产，但同时造成了社会两极分化和周期性经济危机。
马克思主义产生的阶级基础（实践基础）是什么？,19世纪30—40年代，法国、英国、德国爆发的工人运动，标志着现代无产阶级作为独立的政治力量登上了历史舞台。
为马克思主义创立提供直接理论来源的三大思想成果是什么？,德国古典哲学、英国古典政治经济学、英法空想社会主义。
为马克思主义产生提供自然科学前提的三大科学发现是什么？,细胞学说、能量守恒与转化定律、生物进化论。
世界上第一个无产阶级政党的党纲是什么？,《共产党宣言》。
标志着马克思主义公开问世的事件是什么？,1848年2月，《共产党宣言》的发表。
马克思一生的两个伟大发现是什么？,唯物史观和剩余价值学说。
哪部著作全面阐述了马克思主义理论体系？,恩格斯写的《反杜林论》。
马克思主义中国化时代化的第一次历史性飞跃形成的理论成果是什么？,毛泽东思想。
马克思主义中国化时代化新的飞跃（第二次飞跃）形成的理论成果是什么？,中国特色社会主义理论体系。
马克思主义中国化时代化又一次新的飞跃（第三次飞跃）形成的理论成果是什么？,习近平新时代中国特色社会主义思想。
毛泽东思想的活的灵魂体现为哪三个基本方面？,实事求是、群众路线、独立自主。
中国特色社会主义理论体系科学回答了一系列基本问题，其核心问题是什么？,什么是社会主义、怎样建设社会主义。
习近平新时代中国特色社会主义思想的主要创立者是谁？,以习近平同志为主要代表的中国共产党人。
习近平新时代中国特色社会主义思想的世界观和方法论概括为哪“六个必须坚持”？,必须坚持人民至上、坚持自信自立、坚持守正创新、坚持问题导向、坚持系统观念、坚持胸怀天下。
马克思主义的四个基本特征是什么？,科学性、人民性、实践性、发展性。
马克思主义的科学性是指它正确反映了什么？,马克思主义是对自然、社会和人类思维发展本质和规律的正确反映。
马克思主义的人民性体现在它的本质属性和政治立场分别是什么？,人民性是马克思主义的本质属性，人民至上是马克思主义的政治立场。
马克思主义的实践性是指它与实践的关系是怎样的？,马克思主义是从实践中来、到实践中去、在实践中接受检验，并随实践而不断发展的学说。
马克思主义的发展性是指它具有什么样的理论品质？,马克思主义具有与时俱进的理论品质，是不断发展的开放的学说。
如果用一句话来概括马克思主义的基本特征，它是什么的统一？,科学性与革命性的统一。
全部哲学的重大的基本问题是什么？,思维和存在的关系问题，或物质和意识的关系问题。
